City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Date
busselton,-33.65,115.3333,295.93,81,100,3.13,1619664402
atuona,-9.8,-139.0333,299.61,72,33,5.02,1619664581
empalme,27.9667,-110.8167,297.15,43,1,5.14,1619664582
kasongo-lunda,-6.4667,16.8167,294.11,96,98,0.15,1619664329
ushuaia,-54.8,-68.3,275.15,87,40,10.8,1619664305
port alfred,-33.5906,26.891,292.8,86,100,7.05,1619664586
fortuna,40.5982,-124.1573,284.26,93,90,5.66,1619664297
aksarka,66.5606,67.7975,268.46,89,99,4.54,1619664588
spydeberg,59.6171,11.0856,274.26,66,34,0.45,1619664590
dukat,62.55,155.55,273.4,89,72,1.11,1619664591
rikitea,-23.1203,-134.9692,297.44,65,84,4.72,1619664310
sabha,27.0377,14.4283,300.4,10,59,3.26,1619664593
pimentel,-6.8367,-79.9342,290.93,85,49,1.34,1619664595
mataura,-46.1927,168.8643,286.48,91,97,5.81,1619664562
hermanus,-34.4187,19.2345,286.48,92,20,2.28,1619664597
itinga,-16.6131,-41.7653,294.95,78,84,2.11,1619664599
chhuikhadan,21.5333,80.9833,309.6,9,72,0.89,1619664600
kokopo,-4.352,152.2633,301.65,69,51,3.18,1619664601
solnechnyy,50.7214,136.6319,279.69,75,100,1.78,1619664603
oranjestad,12.524,-70.027,299.15,78,20,5.66,1619664386
vaini,-21.2,-175.2,300.15,89,75,3.6,1619664420
porto novo,6.4965,2.6036,298.15,94,20,1.54,1619664606
williams lake,52.1415,-122.1445,283.71,87,90,3.09,1619664608
cabo san lucas,22.8909,-109.9124,294.26,60,40,4.12,1619664609
butaritari,3.0707,172.7902,300.77,77,91,4.83,1619664610
cockburn town,21.4612,-71.1419,298.67,75,53,9.37,1619664582
hilo,19.7297,-155.09,300.15,61,90,3.6,1619664535
tiksi,71.6872,128.8694,272.42,83,16,2.88,1619664500
albany,42.6001,-73.9662,287.04,88,80,1.28,1619664497
carnarvon,-24.8667,113.6333,298.15,50,0,3.09,1619664616
provost,52.3501,-110.2683,285.15,47,100,5.14,1619664617
kavaratti,10.5669,72.642,302.22,68,6,1.4,1619664452
hobart,-42.8794,147.3294,291.48,64,51,1.79,1619664620
victoria,22.2855,114.1577,297.59,71,54,0.45,1619664482
punta arenas,-53.15,-70.9167,278.15,81,75,7.72,1619664399
na klang,17.3072,102.1889,296.48,99,100,2.65,1619664623
nome,64.5011,-165.4064,272.59,69,40,9.26,1619664625
tasiilaq,65.6145,-37.6368,273.15,93,90,1.49,1619664626
arraial do cabo,-22.9661,-42.0278,295.25,76,97,2.22,1619664627
kapaa,22.0752,-159.319,295.37,94,90,6.69,1619664448
olafsvik,64.8945,-23.7142,278.09,71,27,0.62,1619664630
mitsamiouli,-11.3847,43.2844,300.25,77,9,4.32,1619664631
hithadhoo,-0.6,73.0833,302.03,70,61,4.75,1619664443
saint-philippe,-21.3585,55.7679,297.15,78,0,4.63,1619664540
yaan,7.3833,8.5667,298.51,73,100,2.8,1619664635
kahului,20.8947,-156.47,300.15,69,40,4.63,1619664636
laguna,38.421,-121.4238,302.15,11,1,3.6,1619664587
norman wells,65.282,-126.8329,273.15,47,20,8.23,1619664638
bandarbeyla,9.4942,50.8122,301.54,76,87,2.44,1619664640
ipixuna,-1.7625,-48.8043,298.15,94,0,1.54,1619664641
raudeberg,61.9875,5.1352,277.04,77,9,8.24,1619664642
xuddur,4.1213,43.8894,296.93,83,15,3.3,1619664644
yenotayevka,47.2456,47.0281,282.18,71,91,5.17,1619664645
codrington,-38.2667,141.9667,294.18,42,6,2.51,1619664646
sovetskiy,61.3614,63.5842,277.68,79,100,3.64,1619664648
jamestown,42.097,-79.2353,291.15,88,75,4.63,1619664527
margate,51.3813,1.3862,279.82,76,99,4.02,1619664650
moron,-34.6534,-58.6198,290.37,84,67,2.27,1619664651
mahebourg,-20.4081,57.7,298.15,88,40,4.12,1619664653
arlit,18.7369,7.3853,303.7,11,2,3.19,1619664405
hurghada,27.2574,33.8129,295.15,18,0,3.09,1619664655
maymyo,22.0333,96.4667,298.15,83,75,4.12,1619664657
sehithwa,-20.4667,22.7167,291.22,71,12,1.63,1619664658
pangnirtung,66.1451,-65.7125,272.5,78,100,2.6,1619664594
ixtapa,20.7,-105.2,297.59,83,90,4.12,1619664551
pangody,65.85,74.4859,271.51,82,100,1.43,1619664661
bluff,-46.6,168.3333,286.48,91,94,4.92,1619664663
chuzhou,32.3219,118.2978,297.91,39,0,9.64,1619664664
chokurdakh,70.6333,147.9167,269.51,91,98,5.94,1619664665
sungaipenuh,-2.0833,101.3833,296.65,79,100,1.13,1619664667
qaqortoq,60.7167,-46.0333,276.15,81,90,3.09,1619664668
banepa,27.6298,85.5214,294.15,56,20,1.82,1619664669
astoria,46.1879,-123.8313,286.15,71,1,3.09,1619664671
visnes,59.3556,5.2242,278.15,70,90,1.03,1619664672
dabakala,8.3667,-4.4333,297.36,89,100,1.39,1619664673
ahipara,-35.1667,173.1667,290.84,59,15,4.36,1619664675
naze,28.3667,129.4833,293.15,88,75,7.72,1619664511
esperance,-33.8667,121.9,303.15,14,97,10.29,1619664563
axim,4.8699,-2.2405,299.8,83,100,2.25,1619664491
fernie,49.5,-115.0687,288.15,35,100,1.54,1619664679
berberati,4.2612,15.7922,293.46,97,100,0.6,1619664681
baykit,61.67,96.37,276.78,78,100,2.63,1619664682
lata,40.1629,-8.3327,287.59,75,96,1.34,1619664683
rampura,30.25,75.2333,307.78,12,19,3.55,1619664685
constitucion,-35.3333,-72.4167,287.55,69,0,2.9,1619664686
veraval,20.9,70.3667,301.65,66,40,4.28,1619664687
hecelchakan,20.1667,-90.1333,302.31,45,0,4.81,1619664689
