City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Date
punta arenas,-53.15,-70.9167,281.15,66,75,6.69,1620694546
iqaluit,63.7506,-68.5145,271.15,86,90,6.69,1620694530
sept-iles,50.2001,-66.3821,280.37,61,75,2.57,1620694324
neiafu,-18.65,-173.9833,299.15,78,90,4.12,1620694549
jamestown,42.097,-79.2353,281.15,53,1,4.63,1620694521
narsaq,60.9167,-46.05,278.15,52,90,5.14,1620694552
parkes,-33.1333,148.1833,285.37,90,100,0.89,1620694553
vadso,70.0744,29.7487,275.15,75,90,3.11,1620694554
karratha,-20.7377,116.8463,299.17,38,100,7.87,1620694556
hilo,19.7297,-155.09,300.15,61,90,4.63,1620694533
rikitea,-23.1203,-134.9692,298.74,74,100,10.31,1620694558
albany,42.6001,-73.9662,285.93,82,64,2.73,1620694269
puerto escondido,15.85,-97.0667,302.15,70,40,1.03,1620694561
sorland,67.667,12.6934,278.37,77,100,10.39,1620694562
quelimane,-17.8786,36.8883,294.15,94,40,1.54,1620694507
torbay,47.6666,-52.7314,278.71,87,90,6.69,1620694564
russell,32.3502,-85.1999,298.15,78,90,1.54,1620694566
buenaventura,3.8801,-77.0312,297.8,95,100,1.33,1620694567
ushuaia,-54.8,-68.3,283.15,50,20,7.72,1620694363
pimenta bueno,-11.6725,-61.1936,296.02,91,78,1.18,1620694570
cap malheureux,-19.9842,57.6142,295.37,85,25,2.24,1620694571
kaitangata,-46.2817,169.8464,285.93,88,100,4.47,1620694572
saskylakh,71.9167,114.0833,262.9,95,97,1.97,1620694574
port macquarie,-31.4333,152.9167,294.26,82,90,2.06,1620694575
whyalla,-33.0333,137.5833,287.15,72,90,7.2,1620694576
tiksi,71.6872,128.8694,269.02,92,100,5.36,1620694578
berlevag,70.8578,29.0864,275.17,85,11,5.99,1620694579
nanortalik,60.1432,-45.2371,276.27,76,20,0.93,1620694580
hamilton,39.1834,-84.5333,287.15,58,20,1.54,1620693797
port hardy,50.6996,-127.4199,284.15,66,75,2.57,1620694583
sayat,38.7839,63.8803,291.15,63,0,5.14,1620694584
susanville,40.4163,-120.653,294.82,13,1,4.12,1620694585
busselton,-33.65,115.3333,290.37,73,32,1.79,1620694587
palmer,42.1584,-72.3287,288.15,55,75,4.12,1620694588
bluff,-46.6,168.3333,282.59,96,100,1.79,1620694589
cape town,-33.9258,18.4232,287.15,94,0,2.57,1620694430
bull savanna,17.8868,-77.5902,298.14,73,0,4.57,1620694592
butaritari,3.0707,172.7902,301.43,77,54,6.12,1620694593
qaanaaq,77.484,-69.3632,264.57,85,100,1.14,1620694595
juterbog,51.9833,13.0833,289.82,77,75,1.54,1620694596
kyren,51.6828,102.1408,279.73,59,7,0.15,1620694597
